,Date,Rate Type,Rate (%),Operation Type,Operation Date,Maturity Date,Type,Rate,Open,High,Low,Close,adjclose,Volume,Ticker
1,2024-02-15,EFFR,5.33,,,,,,,,,,,,
2,2024-02-15,OBFR,5.32,,,,,,,,,,,,
3,2024-02-15,TGCR,5.3,,,,,,,,,,,,
4,2024-02-15,BGCR,5.3,,,,,,,,,,,,
5,2024-02-15,SOFR,5.31,,,,,,,,,,,,
0,,,,Repo,2024-02-16,2024-02-20,Treasury,5.5,,,,,,,
1,,,,Repo,2024-02-16,2024-02-20,Treasury,5.5,,,,,,,
2,,,,Repo,2024-02-16,2024-02-20,Treasury,5.5,,,,,,,
0,,,,Reverse Repo,2024-02-16,2024-02-20,Treasury,5.3,,,,,,,
S&P 500 (ETF),2024-02-16 00:00:00,,,,,,,,504.1400146484375,505.2799987792969,501.2099914550781,501.95001220703125,501.95001220703125,4035464,IVV
NASDAQ 100 (ETF),2024-02-16 00:00:00,,,,,,,,434.8900146484375,434.989990234375,429.8500061035156,430.57000732421875,430.57000732421875,52018313,QQQ
DJIA (ETF),2024-02-16 00:00:00,,,,,,,,387.1700134277344,388.25,385.75,386.19000244140625,386.19000244140625,3661650,DIA
